on	2887	1593	1294	31.87%	25.89%	55.18%	44.82%	55.18%	44.82%	
their	2206	1477	729	29.55%	14.60%	66.95%	33.05%	66.95%	33.05%	
penny	183	180	3	3.85%	0.33%	98.10%	1.90%	98.10%	1.90%	
stock	179	136	43	2.98%	1.13%	75.83%	24.17%	75.83%	24.17%	
page	171	156	15	3.39%	0.59%	90.99%	9.01%	90.99%	9.01%	
will	1301	481	820	9.65%	16.43%	36.98%	63.02%	36.98%	63.02%	
stocks	70	47	23	1.63%	1.16%	66.90%	33.10%	66.90%	33.10%	
tens	46	45	1	1.94%	1.08%	96.81%	3.19%	96.81%	3.19%	
thousands	151	141	10	3.13%	0.53%	93.09%	6.91%	93.09%	6.91%	
every	221	83	138	1.88%	2.97%	37.61%	62.39%	37.61%	62.39%	
month	128	65	63	1.68%	1.64%	50.78%	49.22%	50.78%	49.22%	
trick	81	76	5	2.11%	0.71%	93.29%	6.71%	93.29%	6.71%	
wealthy	214	187	27	3.96%	0.77%	87.21%	12.79%	87.21%	12.79%	
have	2449	912	1537	18.25%	30.75%	37.24%	62.76%	37.24%	62.76%	
been	675	390	285	7.86%	5.77%	57.77%	42.23%	57.77%	42.23%	
doing	275	107	168	2.31%	3.53%	38.95%	61.05%	38.95%	61.05%	
quite	102	78	24	2.03%	0.96%	76.21%	23.79%	76.21%	23.79%	
while	302	106	196	2.28%	4.07%	35.15%	64.85%	35.15%	64.85%	
we	1359	374	985	7.51%	19.72%	27.54%	72.46%	27.54%	72.46%	
always	426	296	130	6.02%	2.71%	69.44%	30.56%	69.44%	30.56%	
yourself	141	73	68	1.80%	1.70%	51.76%	48.24%	51.76%	48.24%	
troubled	17	15	2	3.06%	2.82%	86.11%	13.89%	86.11%	13.89%	
issues	53	18	35	1.28%	1.61%	34.26%	65.74%	34.26%	65.74%	
age	1079	1042	37	20.87%	0.79%	96.53%	3.47%	96.53%	3.47%	
difference	59	21	38	1.25%	1.58%	35.83%	64.17%	35.83%	64.17%	
still	343	137	206	2.88%	4.25%	39.97%	60.03%	39.97%	60.03%	
feeling	59	42	17	1.66%	1.17%	70.83%	29.17%	70.83%	29.17%	
strong	59	42	17	1.66%	1.17%	70.83%	29.17%	70.83%	29.17%	
urge	16	15	1	3.22%	2.96%	91.18%	8.82%	91.18%	8.82%	
finding	22	17	5	2.50%	2.27%	76.09%	23.91%	76.09%	23.91%	
